feature,rank_analysis_xgb,rank_analysis_rf,rank_analysis_lgbm,rank_analysis_catboost,mean_rank
swing6_std_Ax,131,296,560,210,299.25
swing8_rms_Az,183,256,78,681,299.5
swing15_std_Ax,97,403,304,399,300.75
swing25_min_Gy,390,304,248,264,301.5
swing19_max_Az,195,182,448,381,301.5
swing13_mean_Ay,22,342,332,510,301.5
swing13_median_Ay,399,338,137,334,302.0
swing10_mean_Az,403,292,406,109,302.5
swing24_std_Az,221,272,136,582,302.75
swing20_median_Gx,815,78,119,213,306.25
swing8_min_Az,355,362,95,416,307.0
swing9_rms_Az,764,138,273,53,307.0
swing22_min_Az,214,348,174,493,307.25
swing6_rms_Az,267,305,342,317,307.75
swing5_mean_Gz,468,282,85,396,307.75
swing16_mean_Ay,224,308,245,456,308.25
swing9_median_Gz,459,210,316,250,308.75
swing23_rms_Ax,451,80,339,368,309.5
swing18_max_Az,496,261,366,117,310.0
swing8_median_Gz,190,345,220,487,310.5
swing27_median_Gy,362,656,18,208,311.0
swing6_median_Gz,168,461,157,458,311.0
swing14_mean_Az,389,173,395,289,311.5
swing5_max_Gx,169,254,391,445,314.75
swing10_mean_Gx,508,83,407,265,315.75
swing19_max_Gx,37,231,488,509,316.25
swing10_std_Gy,139,590,338,205,318.0
swing7_min_Ax,209,473,403,190,318.75
swing25_rms_Ax,613,45,226,395,319.75
swing17_rms_Gx,80,303,281,619,320.75
swing27_std_Gz,173,562,177,372,321.0
swing12_median_Gx,493,199,323,272,321.75
swing16_median_Gy,378,298,530,86,323.0
swing21_rms_Gz,9,383,527,377,324.0
swing16_mean_Gy,372,524,343,60,324.75
swing12_mean_Gz,181,87,387,645,325.0
swing20_mean_Az,510,402,109,284,326.25
swing25_max_Ay,453,155,104,595,326.75
swing7_min_Ay,78,350,188,697,328.25
swing23_median_Gz,442,105,182,588,329.25
swing5_median_Gx,347,248,474,253,330.5
swing24_min_Ax,318,494,162,354,332.0
swing7_std_Ax,40,165,402,722,332.25
swing26_median_Gz,67,487,213,566,333.25
swing12_min_Ax,95,670,392,183,335.0
swing24_max_Ax,380,430,236,295,335.25
swing15_min_Ax,502,273,411,155,335.25
swing14_max_Az,235,359,371,378,335.75
swing26_mean_Gz,568,450,96,230,336.0
swing6_mean_Ay,572,200,376,199,336.75
swing25_mean_Gz,218,439,217,473,336.75
swing19_mean_Ay,211,279,358,507,338.75
swing21_std_Ax,489,148,233,486,339.0
swing11_max_Az,295,229,191,644,339.75
swing26_mean_Ay,383,166,274,537,340.0
swing11_median_Gx,247,643,424,48,340.5
swing23_min_Az,306,243,349,467,341.25
swing9_median_Ay,276,454,309,328,341.75
swing6_mean_Gx,85,170,722,392,342.25
swing5_median_Ay,260,586,215,314,343.75
swing23_mean_Az,257,310,326,482,343.75
swing5_std_Gx,331,352,144,549,344.0
