feature,rf_rank,xgb_rank,mean_rank
segment16_Ay_median,534,565,549.5
segment15_Gy_mean,509,591,550.0
segment8_Gy_median,581,519,550.0
segment25_Gx_median,402,699,550.5
segment17_Gz_min,607,494,550.5
segment21_Az_min,310,791,550.5
segment20_Ay_median,704,397,550.5
segment23_Gy_std,663,438,550.5
segment20_Gy_mean,413,690,551.5
segment14_Gy_min,654,451,552.5
segment19_Ax_max,497,608,552.5
segment21_Gx_min,686,419,552.5
segment2_Gy_max,751,356,553.5
segment26_Gz_mean,395,712,553.5
segment19_Gx_mean,493,616,554.5
segment4_Az_min,477,633,555.0
segment13_Gx_max,341,769,555.0
segment26_Ay_std,456,654,555.0
segment0_Az_min,455,656,555.5
segment20_Ax_min,745,367,556.0
segment3_Ay_min,737,376,556.5
segment3_Ay_std,669,444,556.5
segment17_Gx_mean,726,388,557.0
segment22_Ay_mean,409,706,557.5
segment1_Gx_min,738,379,558.5
segment2_Ay_mean,690,428,559.0
segment4_Gx_min,713,408,560.5
segment11_Gz_median,326,795,560.5
segment19_Gy_min,648,473,560.5
segment6_Gz_std,651,474,562.5
segment26_Gx_mean,467,659,563.0
segment17_Gz_median,504,622,563.0
segment12_Gy_min,373,754,563.5
segment15_Gx_max,538,589,563.5
segment7_Ax_median,571,558,564.5
segment23_Gx_max,322,807,564.5
segment7_Gz_min,587,542,564.5
segment11_Gy_median,386,748,567.0
segment20_Gz_min,746,392,569.0
segment8_Gz_std,586,552,569.0
segment20_Gy_median,414,724,569.0
segment10_Az_min,594,546,570.0
segment24_Ay_std,363,777,570.0
segment11_Ay_mean,407,738,572.5
segment17_Ax_median,636,510,573.0
segment10_Gx_median,614,535,574.5
segment3_Gx_median,637,512,574.5
segment18_Ax_median,529,621,575.0
segment22_Ax_max,501,650,575.5
segment16_Gz_std,656,504,580.0
segment12_Ax_median,428,732,580.0
segment12_Ay_median,429,731,580.0
segment15_Ay_mean,592,569,580.5
segment13_Az_min,397,765,581.0
segment11_Gx_mean,420,742,581.0
segment4_Ax_median,563,600,581.5
segment8_Gz_min,710,460,585.0
segment5_Gx_median,376,796,586.0
segment6_Gy_max,652,523,587.5
segment11_Gy_mean,431,745,588.0
segment19_Ay_std,566,611,588.5
segment4_Ay_std,593,585,589.0
segment2_Gx_min,753,425,589.0
segment9_Gy_max,688,491,589.5
segment6_Gz_min,642,539,590.5
segment9_Gx_min,799,382,590.5
segment20_Ax_median,519,663,591.0
segment23_Gz_std,380,803,591.5
segment17_Ay_mean,383,800,591.5
segment22_Ay_std,459,728,593.5
segment1_Gy_std,514,677,595.5
segment15_Az_min,626,566,596.0
segment18_Ay_median,553,639,596.0
segment24_Gz_mean,469,727,598.0
segment19_Gx_max,579,619,599.0
segment3_Az_min,685,516,600.5
segment17_Gy_max,684,517,600.5
segment7_Ay_mean,650,554,602.0
segment21_Gx_mean,560,648,604.0
segment24_Ay_mean,432,776,604.0
segment18_Gy_median,733,477,605.0
segment10_Gx_mean,664,547,605.5
segment12_Ax_min,415,797,606.0
segment15_Gy_min,620,593,606.5
segment1_Ay_std,507,707,607.0
segment13_Gx_std,450,768,609.0
segment25_Az_min,527,695,611.0
segment16_Gy_mean,689,533,611.0
segment8_Ay_min,698,524,611.0
segment12_Ay_min,475,749,612.0
segment18_Gx_mean,583,642,612.5
segment11_Az_max,484,741,612.5
segment8_Gy_max,694,532,613.0
segment16_Gz_min,722,505,613.5
segment8_Gy_min,696,531,613.5
segment26_Gy_std,521,709,615.0
segment13_Ax_median,470,761,615.5
segment3_Gz_min,671,562,616.5
segment7_Gz_max,703,540,621.5
segment4_Gx_mean,612,631,621.5
segment5_Ay_std,483,760,621.5
segment25_Gy_min,539,704,621.5
segment14_Ax_median,668,576,622.0
segment18_Gy_min,785,461,623.0
segment19_Gy_median,530,719,624.5
segment16_Gz_max,744,506,625.0
segment23_Ax_median,585,665,625.0
segment5_Ay_median,496,756,626.0
segment25_Gy_std,550,703,626.5
segment7_Gx_mean,701,555,628.0
segment26_Az_min,600,657,628.5
segment20_Ay_std,598,661,629.5
segment23_Ay_std,471,790,630.5
segment9_Gz_std,768,493,630.5
segment24_Ax_median,488,775,631.5
segment3_Gx_min,752,513,632.5
segment10_Gx_max,715,550,632.5
segment23_Gy_mean,457,808,632.5
segment20_Gz_std,616,651,633.5
segment24_Gz_median,580,689,634.5
segment10_Ax_median,750,520,635.0
segment14_Gz_std,643,628,635.5
segment2_Ay_median,478,794,636.0
segment13_Gy_max,770,509,639.5
segment9_Gz_min,793,487,640.0
segment14_Gx_median,678,603,640.5
segment7_Gy_max,723,559,641.0
segment24_Gy_median,631,652,641.5
segment14_Gy_median,661,627,644.0
segment14_Gx_min,705,583,644.0
segment8_Gx_mean,766,527,646.5
segment25_Ax_median,603,691,647.0
segment1_Gz_std,619,675,647.0
segment24_Gy_std,510,785,647.5
